x_position,y_position,z_position,ray_tracing_signal,path_loss_signal,difference
6.0,86.0,1.5,-77.16747509844936,-54.16747509844936,-23.0
6.0,88.0,1.5,-77.44162553351777,-54.441625533517765,-23.0
6.0,90.0,1.5,-77.6665831316877,-54.6665831316877,-23.0
6.0,92.0,1.5,-77.84889818340054,-54.848898183400536,-23.0
6.0,94.0,1.5,-78.03491695455057,-55.03491695455057,-23.0
6.0,96.0,1.5,-78.22387312210031,-55.223873122100315,-23.0
6.0,98.0,1.5,-78.41507236274737,-55.41507236274737,-23.0
6.0,100.0,1.5,-78.60789036875698,-55.60789036875698,-23.0
8.0,0.0,1.5,-69.33044334412926,-46.330443344129264,-23.0
8.0,2.0,1.5,-64.47313608519212,-45.473136085192124,-19.0
8.0,4.0,1.5,-63.529681046902226,-44.529681046902226,-19.0
8.0,6.0,1.5,-62.48338400507296,-43.48338400507296,-19.0
8.0,8.0,1.5,-61.31377556319225,-42.31377556319225,-19.0
8.0,10.0,1.5,-59.99718880828581,-40.99718880828581,-19.0
8.0,12.0,1.5,-54.51137197483072,-39.51137197483072,-15.0
8.0,14.0,1.5,-52.85379534670119,-37.85379534670119,-15.0
8.0,16.0,1.5,-51.10188368127098,-36.10188368127098,-15.0
8.0,18.0,1.5,-49.564409355786694,-34.564409355786694,-15.0
8.0,20.0,1.5,-48.901342263614936,-33.901342263614936,-15.0
8.0,22.0,1.5,-49.564409355786694,-34.564409355786694,-15.0
8.0,24.0,1.5,-51.10188368127098,-36.10188368127098,-15.0
8.0,26.0,1.5,-52.85379534670119,-37.85379534670119,-15.0
8.0,28.0,1.5,-54.51137197483072,-39.51137197483072,-15.0
8.0,30.0,1.5,-59.99718880828581,-40.99718880828581,-19.0
8.0,32.0,1.5,-60.936476561284906,-41.936476561284906,-19.0
8.0,34.0,1.5,-61.755187648435424,-42.755187648435424,-19.0
8.0,36.0,1.5,-62.60011071300454,-43.60011071300454,-19.0
8.0,38.0,1.5,-63.435691196699594,-44.435691196699594,-19.0
8.0,40.0,1.5,-64.24265309709776,-45.24265309709776,-19.0
8.0,42.0,1.5,-65.01194185424151,-46.01194185424151,-19.0
8.0,44.0,1.5,-69.74041328239957,-46.74041328239957,-23.0
